id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/deathYear|http://dbpedia.org/ontology/birthYear|https://www.scads.de/movieBenchmark/ontology/endYear|https://www.scads.de/movieBenchmark/ontology/startYear|https://www.scads.de/movieBenchmark/ontology/genre_list|https://www.scads.de/movieBenchmark/ontology/primaryProfessions|https://www.scads.de/movieBenchmark/ontology/runtimeMinutes
2620||Mairin Wilkinson||||||||editor,producer,production_manager|
2621||Helli Servi|||1990-01-01|1923-01-01||||actress|
2622|Parys Mountain||4|1||||2004-01-01|Documentary||48
2623||Katie Hirst|||||||||
2624||Ruth Dunning|||1983-01-01|1909-01-01||||actress|
2625||Samandar Rzayev|||1986-01-01|1945-01-01||||actor|
2626|The Wedding Waltz|||||||1988-01-01|Comedy,Drama||56
2627||Mark Middis||||||||editor,writer,editorial_department|
2628|A Family Out of Us||21|1||||1954-01-01|Drama||30
2629||Malcolm Cassell||||1939-01-01||||actor|
2630||Jan B?sser||||||||actor|
2631||Kana Hanazawa||||1989-01-01||||actress,soundtrack|
2632||Sue Sire||||||||writer|
2633|Mission to Manila||7|1||||1959-01-01|Adventure||60
2634||Bruce Parry||||1969-01-01||||director,writer,art_director|
2635||Margaret Field|||2011-01-01|1922-01-01||||actress|
2636|The Little Teacher||34|2||||1955-01-01|Drama||30
2637||Charles Seel|||1980-01-01|1897-01-01||||actor|
2638|The Eternal Now: Part 1||28|7||||1960-01-01|Drama||30
2639||Miranda Richardson||||1958-01-01||||actress,soundtrack|
2640||J?nos Vaszary|||1963-01-01|1899-01-01||||writer,director,actor|
2641||Lee Strosnider|||2013-01-01|1931-01-01||||sound_department,cinematographer,editor|
2642||George Eldredge|||1977-01-01|1898-01-01||||actor|
2643||Charles Cane|||1973-01-01|1899-01-01||||actor,soundtrack|
2644||Mohamad Hadadi||||||||cinematographer|
2645||David Orrick McDearmon|||1979-01-01|1914-01-01||||director,actor|
2646||Karel H?ger|||1977-01-01|1909-01-01||||actor|
2647||Lok-yi Lai||||||||actor|
2648|Man with a Guitar||33|1||||1962-01-01|Adventure||30
2649||Dan Duryea|||1968-01-01|1907-01-01||||actor,soundtrack|
2650|The Good Killing||16|2||||1961-01-01|Adventure||60
2651||Claude Akins|||1994-01-01|1926-01-01||||actor|
2652||Kiyoshi Kobayashi||||1933-01-01||||actor|
2653||Hugh Hefner|||2017-01-01|1926-01-01||||producer,actor,soundtrack|
2654||Carola Arons||||1971-01-01||||actress|
2655||H?l?ne Hiquily||||||||actress|
2656||Vico Thai||||1981-01-01||||actor|
2657||Gay Walch||||||||producer,writer,director|
2658||Richard Goldstone|||2007-01-01|1912-01-01||||producer,writer,director|
2659||Lars T. Therkildsen||||||||director,actor,writer|
2660||Noah Plener||||||||actor,miscellaneous,writer|
2661||Amanda Temple||||||||producer,production_manager|
2662||Daniel Mainwaring|||1977-01-01|1902-01-01||||writer,miscellaneous|
2663||Eddie Fontaine|||1992-01-01|1927-01-01||||actor,soundtrack|
2664||Eugen Thomass|||2009-01-01|1927-01-01||||composer,music_department,soundtrack|
2665||William Pettigrew||||||||producer,director,editor|
2666||Daf Hobson||||1951-01-01||||cinematographer,camera_department|
2667||Takashi Yajima||||||||producer,miscellaneous,actor|
2668|Hurricane Audrey||14|3||||1962-01-01|Adventure||60
2669|The Trial of the Monarch||12|1||||2004-01-01|Action,Adventure,Animation||22
2670|Work Related||22|4||||1996-01-01|Crime,Drama,Mystery||
2671||Kelly Smith||||||||actress|
2672|Dead Men Don't Jump||6|2||||1994-01-01|Animation,Comedy,Fantasy||21
2673|Spear Gun||3|1||||1957-01-01|Adventure||30
2674||Rita Wilson||||1956-01-01||||actress,producer,soundtrack|
2675||R.D. Reid|||2017-01-01|1944-01-01||||actor,director,writer|
2676|Brando|||||||2007-01-01|Biography,Documentary||165
2677|The Countess||31|4||||1957-01-01|Drama||30
2678||German Lavrov|||1995-01-01|1929-01-01||||cinematographer,director|
2679||Earl Robie|||2010-01-01|1946-01-01||||actor|
2680||Robert Duvall||||1931-01-01||||actor,producer,soundtrack|
2681||Louis Vittes|||1969-01-01|1911-01-01||||writer|
2682||Matthew McConaughey||||1969-01-01||||actor,producer,soundtrack|
2683|If You Have Ghosts||5|3||||2019-01-01|Crime,Drama,Mystery||59
2684|Girl in Hiding||11|1||||1962-01-01|Adventure||
2685||Anatoliy Zabolotskiy||||1935-01-01||||cinematographer|
2686||Eva Pflug|||2008-01-01|1929-01-01||||actress,miscellaneous,soundtrack|
2687||Julie Lemieux||||1962-01-01||||actress,music_department,soundtrack|
2688||Tara Meyer||||||||actress|
2689|Operation Peter Pan: Flying Back to Cuba|||||||2011-01-01|Documentary||57
2690||Jamieson Boulanger||||1981-01-01||||actor,producer|
2691||T Bone Burnett||||1948-01-01||||soundtrack,music_department,composer|
2692|The Weatherman||4|4||||2004-01-01|Comedy||30
2693||Fritz Wepper||||1941-01-01||||actor,soundtrack|
2694||Mary Young|||1971-01-01|1879-01-01||||actress,soundtrack|
2695||Michael MacMillan||||1957-01-01||||producer,executive|
2696||Eric Feldary|||1968-01-01|1912-01-01||||actor|
2697||Lee Loeb|||1978-01-01|1910-01-01||||writer|
2698|Secret Answer||18|1||||1954-01-01|Drama||30
2699||Katherine Warren|||1965-01-01|1905-01-01||||actress|
2700||Andrea Montenegro||||1969-01-01||||actress|
2701||Pete Rugolo|||2011-01-01|1915-01-01||||composer,music_department,soundtrack|
2702||Sam Raskyn|||1984-01-01|1911-01-01||||actor|
2703||Ellen Corby|||1999-01-01|1911-01-01||||actress,writer,soundtrack|
2704||Eva Gabor|||1995-01-01|1919-01-01||||actress,soundtrack|
2705||Christine Taylor||||1971-01-01||||actress,soundtrack|
2706||Rob Paulsen||||1956-01-01||||actor,soundtrack,music_department|
2707||Roger Nygard||||1962-01-01||||editor,director,writer|
2708||Cheryl Hines||||1965-01-01||||actress,producer,director|
2709|Too Many Clients: Part 2||10|2||||2002-01-01|Action,Drama,Mystery||
2710|Truth Will Out||16|7||||1999-01-01|Crime,Drama,Mystery||
2711||Jay Baruchel||||1982-01-01||||actor,writer,director|
2712|All Booked Up||9|3||||1999-01-01|Animation,Comedy,Fantasy||21
2713|Path of the Hurricane||22|1||||1958-01-01|Adventure||30
2714||Gautham Raju||||||||editor|
2715||David Patrick Valera||||||||visual_effects,animation_department,actor|
2716||Natalie Schafer|||1991-01-01|1900-01-01||||actress,soundtrack,writer|
2717||Barry Trivers|||1981-01-01|1907-01-01||||writer,soundtrack,actor|
2718||Toshiyuki Sugino|||||||||
2719|Miss Ashley's Demon||20|4||||1957-01-01|Drama||30
2720||Johann Ben?t||||||||actor,make_up_department,music_department|
2721||Fred Freiberger|||2003-01-01|1915-01-01||||writer,producer,miscellaneous|
2722||Brian Blessed||||1936-01-01||||actor,soundtrack,director|
2723||Stacie Passon||||||||director,producer,writer|
2724||Kenneth Biller||||||||producer,writer,miscellaneous|
2725||Bas?lio|||||||||
2726||Jane Harris||||||||editor,editorial_department|
2727||T.J. English||||||||writer,producer|
2728||Leonardo Aldana|||||||||
2729||Benno Hoffmann|||2005-01-01|1919-01-01||||actor,miscellaneous,assistant_director|
2730||Bridget Regan||||1982-01-01||||actress|
2731|Red, Red Wine||5|7||||1998-01-01|Crime,Drama,Mystery||60
2732||Jason Burke||||||||actor|
2733||Beppe Cino||||1947-01-01||||assistant_director,director,writer|
2734|The Special Section||6|3||||2002-01-01|Comedy||30
2735||Doug Hastings||||||||cinematographer|
2736||Barbro 'Babben' Larsson||||1956-01-01||||actress|
2737||Roman Davydov|||1988-01-01|1913-01-01||||animation_department,director,cinematographer|
2738|Royal Partners: Part 2||34|4||||1957-01-01|Drama||30
2739||William Boyett|||2004-01-01|1927-01-01||||actor,miscellaneous|
2740||Peter Du Cane||||||||director,producer,writer|
2741||Taborah Johnson||||1953-01-01||||actress,soundtrack|
2742||Roger Shearman|||1987-01-01|1906-01-01||||camera_department,cinematographer,visual_effects|
2743|Chapter 4||4|1||||2013-01-01|Drama||49
2744||Mimi Freedman||||||||producer,writer,director|
2745||Scott Sander|||||||||
2746|Other Lives||5|2||||2015-01-01|Crime,Drama,Mystery||59
2747|Justice: Part 2||14|4||||1996-01-01|Crime,Drama,Mystery||
2748|The Sleeping Beauty||6|1||||1993-01-01|Animation,Comedy,Fantasy||21
2749||Ashley Eldridge||||||||producer|
2750||August Wilhelm von Schlegel|||1845-01-01|1767-01-01||||writer,soundtrack|
2751||Rick Cleveland||||||||producer,writer,director|
2752||Daniel Minahan||||||||director,producer,writer|
2753||Noah Beery Jr.|||1994-01-01|1913-01-01||||actor,soundtrack|
2754|Episode #1.7||7|1||||1971-01-01|Drama||
2755||Lurene Tuttle|||1986-01-01|1907-01-01||||actress|
2756||Zemfira Sadykhova||||||||actress|
2757||Merle Oberon|||1979-01-01|1911-01-01||||actress,soundtrack,writer|
2758||Fred Essler|||1973-01-01|1895-01-01||||actor|
2759||Stanley Erickson||||||||actor,costume_department|
2760|Chapter 35||9|3||||2015-01-01|Drama||52
2761||William Todd-Jones||||||||miscellaneous,actor,visual_effects|
2762||Elizabeth Blackmore||||1987-01-01||||actress|
2763|Man in the Ring||15|3||||1955-01-01|Drama||30
2764||Tony Chastain||||||||actor,assistant_director|
2765||Josh Flanagan||||1984-01-01||||actor,writer,director|
2766||David Simon||||1960-01-01||||writer,producer,miscellaneous|
2767||Marian Spitzer|||1983-01-01|1899-01-01||||writer,actress|
2768||Cecilia Brozovich||||||||actress|
2769|This Subtle Danger||15|8||||1961-01-01|Drama||30
2770|Geoduck Farmer||14|2||||2006-01-01|Reality-TV||43
2771|Nothing Personal||18|3||||1995-01-01|Crime,Drama,Mystery||
2772||Maria Perschy|||2004-01-01|1938-01-01||||actress|
2773||Rachel Ames||||1929-01-01||||actress|
2774||Stuart Stone||||1980-01-01||||actor,writer,producer|
2775||Joe Strummer|||2002-01-01|1952-01-01||||soundtrack,actor,music_department|
2776||Meera Syal||||1961-01-01||||actress,writer,miscellaneous|
2777||Y?ji Yamada||||1931-01-01||||writer,director,assistant_director|
2778|Inga III||19|3||||1956-01-01|Drama||30
2779||John Berrie||||||||cinematographer,camera_department,actor|
2780|The Beach at Belle Anse||22|3||||1962-01-01|Adventure||60
2781|The Milkman||12|1||||1960-01-01|Adventure,Drama,Family||30
2782||Alice Roberts||||1973-01-01|||||
2783||Fran?ois Sagat||||1979-01-01||||actor,director,writer|
2784||Philip Hersh||||||||actor,miscellaneous,sound_department|
2785||Sigfrit Steiner|||1988-01-01|1906-01-01||||actor,director,writer|
2786||Diane Keaton||||1946-01-01||||actress,producer,soundtrack|
2787|Isabelita|||||||1940-01-01|Comedy||79
2788|Wine Cave Digger||5|3||||2007-01-01|Reality-TV||43
2789|The Unknown|||||||1927-01-01|Drama,Horror,Romance||63
2790||Rolf Kutschera|||2012-01-01|1916-01-01||||actor,director,writer|
2791||Richard Devon|||2010-01-01|1926-01-01||||actor,writer,soundtrack|
2792||Tommy Earwood||||||||actor|
2793||Judith Barker||||1943-01-01||||actress|
2794|I've Got a Secret||11|4||||1996-01-01|Crime,Drama,Mystery||
2795||A. Sanford Wolfe||||||||writer|
2796||Camsid Amirov||||||||writer|
2797||Abraham Sofaer|||1988-01-01|1896-01-01||||actor|
2798||Sam Ross|||1998-01-01|1911-01-01||||writer|
2799||Teresa Wright|||2005-01-01|1918-01-01||||actress,soundtrack|
2800|The Bridegroom||31|1||||1961-01-01|Adventure,Drama,Family||30
2801||Robert Mintz||||||||editorial_department,producer,miscellaneous|
2802|Suruga monk? sonoichi||6|1||||2009-01-01|Action,Animation,Comedy||24
2803||Stuart Rosenberg|||2007-01-01|1927-01-01||||director,producer,production_manager|
2804|Dirty Jobs||||||2012-01-01|2005-01-01|Reality-TV||60
2805||Dick York|||1992-01-01|1928-01-01||||actor,soundtrack|
2806||Jan Pivec|||1980-01-01|1907-01-01||||actor,soundtrack|
2807|Double Edge||19|8||||1961-01-01|Drama||30
2808||Vince Barnett|||1977-01-01|1902-01-01||||actor,soundtrack,writer|
2809||Martin Campbell||||1943-01-01||||director,producer,actor|
2810|Goodness Gracious Me||||||2015-01-01|1998-01-01|Comedy||45
2811||Kevin Nealon||||1953-01-01||||actor,writer,soundtrack|
2812||Elly Choval|||||||||
2813||Fay Baker|||1987-01-01|1917-01-01||||actress|
2814||Michael Whaley||||||||writer|
2815||Bruce Willis||||1955-01-01||||actor,soundtrack,producer|
2816||Heinz Marecek||||1945-01-01||||actor,director,writer|
2817||Paulette Goddard|||1990-01-01|1910-01-01||||actress,soundtrack,producer|
2818||Marilyn Erskine||||1926-01-01||||actress|
2819||Fiona Allen||||1965-01-01||||actress,writer|
2820|The Wise One||28|3||||1956-01-01|Drama||30
2821|Blood Ties: Part 2||2|6||||1997-01-01|Crime,Drama,Mystery||
2822|To Catch the Kaiser||22|1||||1963-01-01|Drama,Sport,Western||
2823|Le pacte Hitler-Staline|||||||2019-01-01|Documentary,History||102
2824||Samuel H. Gruber||||||||miscellaneous,actor|
2825||Barney Phillips|||1982-01-01|1913-01-01||||actor|
2826|We Survived A Year... Barely||1|2||||2019-01-01|Drama,Family,Reality-TV||42
2827||David Saber||||||||actor|
2828|In the Good Old Summertime||3|6||||1958-01-01|Drama||30
2829|The Fire||22|1||||1961-01-01|Adventure,Drama,Family||30
2830|Balangiga: Howling Wilderness|||||||2017-01-01|Drama||120
2831||Elizabeth Marvel||||1969-01-01||||actress,director,writer|
2832||Patricia Hardy|||2011-01-01|1931-01-01||||actress|
2833||P. Walter Jacob|||1977-01-01|1905-01-01||||actor|
2834||Jason Yoshimura||||||||writer|
2835||Richard Loo|||1983-01-01|1903-01-01||||actor|
2836||Abram S. Ginnes|||2006-01-01|1914-01-01||||writer,producer|
2837||David Mills|||2010-01-01|1961-01-01||||producer,writer,miscellaneous|
2838||Nicola Furst||||||||actress,director,producer|
2839||Deb Cano|||||||||
2840||Laura Devon|||2007-01-01|1931-01-01||||actress,soundtrack|
2841|Der Fall Schurzheim||1|5||||1967-01-01|Drama||73
2842|Elizabeth|||||||2000-01-01|Documentary,Drama||200
2843|The Lamp||4|2||||1954-01-01|Drama||30
2844||Michael Murphy||||||||producer|
2845|Star Wish||17|1||||1961-01-01|Adventure,Drama,Family||30
2846||Mikey Anderson||||||||actor,special_effects|
2847||Frank Sullivan|||1972-01-01|1896-01-01||||editor,cinematographer,writer|
2848|Snake Researcher||23|2||||2006-01-01|Reality-TV||44
2849||Dominic Muldowney||||1952-01-01||||composer,soundtrack,music_department|
2850||Carl Lange|||1999-01-01|1909-01-01||||actor|
2851||Ed Naha||||1950-01-01||||writer,producer,soundtrack|
2852||Helmuth Ashley||||1919-01-01||||director,cinematographer,writer|
2853||Koen van der Molen||||||||actor|
2854||Elliott Reid|||2013-01-01|1920-01-01||||actor,writer|
2855||Frank Lovejoy|||1962-01-01|1912-01-01||||actor,soundtrack|
2856|Dear Midge||34|1||||1954-01-01|Drama||30
2857|Hate Floats||2|2||||2006-01-01|Action,Adventure,Animation||22
2858||Paul Stanley|||2002-01-01|1922-01-01||||director,producer,soundtrack|
2859||Gordon Michael Woolvett||||1970-01-01||||actor,director,writer|
2860||Frances Brandt||||||||actress|
2861||Libby Hinson||||||||writer,sound_department|
2862||Kashaf Chaudhry||||||||director,assistant_director,camera_department|
2863||Katy Perry||||1984-01-01||||soundtrack,actress,composer|
2864|The Dream Merchant||24|3||||1962-01-01|Adventure||60
2865|Suruga monki sono ni||7|1||||2009-01-01|Action,Animation,Comedy||24
2866|Bad Medicine||4|5||||1996-01-01|Crime,Drama,Mystery||
2867||Anna Kashfi|||2015-01-01|1934-01-01||||actress|
2868||Liang Joo Leow|||||||||
2869||Lewis Martin|||1969-01-01|1894-01-01||||actor|
2870||Billy Chapin|||2016-01-01|1943-01-01||||actor|
2871||Mark Dana|||2015-01-01|1920-01-01||||actor|
2872||Lilly Gordon||||||||writer|
2873||William Henry|||1982-01-01|1914-01-01||||actor,soundtrack|
2874||Kiefer Slaton||||||||actor|
2875||Robert Montgomery Jr.|||2000-01-01|1936-01-01||||actor|
2876||Rebecca Hall||||1982-01-01||||actress,director,writer|
2877||Martin Ragaway|||1989-01-01|1923-01-01||||writer,miscellaneous,director|
2878||Noreen Kershaw||||1950-01-01||||director,actress|
2879||Patty Wynne-Hughs||||||||actress|
2880||Katie Mcquerrey||||||||editor,editorial_department,miscellaneous|
2881|Einstein Revealed|||||||1996-01-01|Biography,Documentary||105
2882||Ivan Andonov|||2011-01-01|1934-01-01||||actor,director,writer|
2883||Yoo Ji-Tae||||1976-01-01||||actor,director,writer|
2884|Keyyo g?star||2|3||||2019-01-01|Comedy||
2885||Robin Stevens||||||||actor,miscellaneous,writer|
2886||Robbie Budd||||||||actor|
2887||Mary Harron||||1953-01-01||||director,producer,writer|
2888||Milton Geiger|||1971-01-01|1907-01-01||||writer,director|
2889|Return to Spider-Skull Island||13|1||||2004-01-01|Action,Adventure,Animation||22
2890||Rebecca Front||||1964-01-01||||actress,writer,soundtrack|
2891||Roger Angell||||1920-01-01||||miscellaneous,writer|
2892||Alex Hall||||||||editor,producer,director|
2893||Philip Voss|||2020-01-01|1936-01-01||||actor|
2894|The Hidden One||12|5||||1958-01-01|Drama||30
2895||Murray Matheson|||1985-01-01|1912-01-01||||actor|
2896||Wolfgang B?ttner|||1990-01-01|1912-01-01||||actor,miscellaneous|
2897|The Challenge||20|3||||1956-01-01|Drama||30
2898|The Hot Towel||4|7||||2009-01-01|Comedy||29
2899||Tim Janis||||||||composer,music_department,director|
2900||Fumihiko Tachiki||||1961-01-01||||actor,soundtrack|
2901||David Schwimmer||||1966-01-01||||actor,director,soundtrack|
2902||Ira Oberberg||||1918-01-01||||editor,editorial_department|
2903||Carmela Hunt|||||||||
2904|Devil in Paradise||26|1||||1962-01-01|Adventure||
2905||Glenn Wheaton||||||||writer,producer|
2906|The Black Pearl||2|1||||1959-01-01|Adventure||50
2907||John Abbott|||1996-01-01|1905-01-01||||actor,soundtrack|
2908||Anna Chancellor||||1965-01-01||||actress,sound_department|
2909||Gary Janetti||||1966-01-01||||producer,writer,actor|
2910||Carol Cuddy||||||||producer,production_manager,location_management|
2911||F. Murray Abraham||||1939-01-01||||actor,soundtrack|
2912||Gillian Corderoy||||||||writer|
2913||Sylvie Landra||||||||editor,producer,editorial_department|
2914||Jodie Foster||||1962-01-01||||actress,director,producer|
2915||Christina Agamanolis||||||||composer|
2916||Val Bisoglio||||1926-01-01||||actor|
2917|Christmas Party||9|1||||2001-01-01|Action,Drama,Mystery||
2918|Emma Molin g?star||3|3||||2019-01-01|Comedy||
2919||Cathleen Nesbitt|||1982-01-01|1888-01-01||||actress|
2920|Captain Butcher||19|2||||1961-01-01|Adventure||60
2921||Anna Vaney||||||||producer|
2922|Ghosts of the Sargasso||6|1||||2004-01-01|Action,Adventure,Animation||22
2923||Kurt Lockwood||||1970-01-01||||actor,director,writer|
2924|The Wedding||21|4||||1996-01-01|Crime,Drama,Mystery||
2925|Charlie Chaplin||2|3||||2006-01-01|Biography,Comedy,Documentary||
2926||John Tams||||1949-01-01||||actor,soundtrack,music_department|
2927||Lani Kai|||1999-01-01|1936-01-01||||actor,soundtrack|
2928||Ashly Holloway||||||||actress,soundtrack|
2929||Jessie Thomson||||||||casting_director,miscellaneous,director|
2930|The Western Book of the Dead||1|2||||2015-01-01|Crime,Drama,Mystery||60
2931||Kathryn Bigelow||||1951-01-01||||director,producer,actress|
2932||Robert Anderson|||1996-01-01|1920-01-01||||actor|
2933|The Bracelet||12|3||||1955-01-01|Drama||30
2934||Jay Potter||||||||actor,writer,editor|
2935||Kate McKinnon||||1984-01-01||||actress,soundtrack,writer|
2936||Leonid Belokurov|||2003-01-01|1922-01-01||||writer|
2937||Taraka Rama Rao Nandamuri|||1996-01-01|1923-01-01||||actor,director,writer|
2938||Gerald Mayer|||2001-01-01|1919-01-01||||director,producer|
2939||Sharon Guskin||||||||writer,producer|
2940||Jon-Erik Laggano||||||||actor|
2941||Steve Moltzen||||||||director,animation_department,art_department|
2942||Kazuhito Suzuki||||||||actor|
2943|Traitor||1|2||||1971-01-01|Comedy,Drama||61
2944||Sze Kei Lee||||1950-01-01||||actress|
2945||Maurice Hill|||2007-01-01|1918-01-01||||actor,writer|
2946||Devery Freeman|||2005-01-01|1913-01-01||||producer,writer|
2947||Peter Adams|||1987-01-01|1917-01-01||||actor|
2948||Byron Morrow|||2006-01-01|1911-01-01||||actor|
2949||Jamie Vergan||||||||actor,miscellaneous|
2950|Branches of the Tree|||||||1990-01-01|Drama||130
2951|Cvrcek a slepice||4|1||||1978-01-01|Animation,Family||5
2952|The Seder||7|5||||2005-01-01|Comedy||30
2953||Dalibor Grubacevic||||1975-01-01||||composer,music_department,soundtrack|
2954||Gene Levitt|||1999-01-01|1920-01-01||||writer,producer,director|
2955|Quiet Desperation||17|8||||1961-01-01|Drama||30
2956||Lonne Elder III|||1996-01-01|1927-01-01||||writer,actor|
2957||Roger Dunn||||||||actor|
2958||Dwight Taylor|||1986-01-01|1903-01-01||||writer,producer,miscellaneous|
2959||Raymond Danon|||2018-01-01|1930-01-01||||producer,miscellaneous,production_manager|
2960||Juan Carlos Thorry|||2000-01-01|1908-01-01||||actor,director,writer|
2961|Night Finds You||2|2||||2015-01-01|Crime,Drama,Mystery||58
2962||Marie Therese Prohaska||||||||writer|
2963|Die Like a Dog||4|2||||2002-01-01|Action,Drama,Mystery||
2964|Away from It All||4|2||||1960-01-01|Adventure||60
2965||Emily Ballou||||||||writer,miscellaneous,producer|
2966|The Old and the Dead||16|3||||1995-01-01|Crime,Drama,Mystery||
2967|Steam Ship Cleaner||8|3||||2007-01-01|Reality-TV||43
2968|The Baptism||9|2||||2001-01-01|Comedy||30
2969|Episode #1.3||3|1||||1971-01-01|Drama||23
2970||Juliet Charlesworth||||||||producer,director|
2971||Grisha Ostrovski|||2007-01-01|1918-01-01||||director,actor|
2972||Werner Preuss||||||||editor,production_manager,producer|
2973||Leland Ling||||||||producer|
2974||Khavn||||1973-01-01||||director,writer,producer|
2975||David Duncan|||1999-01-01|1913-01-01||||writer|
2976||Richard Morris|||1996-01-01|1924-01-01||||writer,director,actor|
2977||Donald Randolph|||1993-01-01|1906-01-01||||actor|
2978||Mary Treen|||1989-01-01|1907-01-01||||actress,soundtrack|
2979||Thor Bishopric||||1963-01-01||||actor,writer,miscellaneous|
2980||Holly Dale||||1953-01-01||||director,producer,editor|
2981|This Wraps It Up||11|1||||1993-01-01|Animation,Comedy,Fantasy||21
2982||Jirina Stepnickov?|||1985-01-01|1912-01-01||||actress|
2983|Funkhouser's Crazy Sister||1|7||||2009-01-01|Comedy||29
2984||Vladim?r Smeral|||1982-01-01|1903-01-01||||actor,writer|
2985|The Korean Bookie||9|5||||2005-01-01|Comedy||29
2986||Sean McClory|||2003-01-01|1924-01-01||||actor,director,soundtrack|
2987||John Bond||||||||actor|
2988|Out of Control||5|6||||1958-01-01|Drama||30
2989||Tony Fucile||||1964-01-01||||animation_department,art_department,actor|
2990||William Fawcett|||1974-01-01|1894-01-01||||actor|
2991|Prisoner's Base: Part 1||4|1||||2001-01-01|Action,Drama,Mystery||
2992|The Contract on Alex Cordeen||15|1||||1974-01-01|Crime,Drama||60
2993||Anton Marinovich|||1976-01-01|1907-01-01||||director,writer|
2994|Heartbeat||7|4||||1995-01-01|Crime,Drama,Mystery||
2995||Tom Clegg|||2016-01-01|1934-01-01||||director,camera_department,writer|
2996||Myles Connell||||||||director,writer,editorial_department|
2997||George Jacobson||||||||cinematographer,camera_department|
2998|Porno Gil||3|1||||2000-01-01|Comedy||29
2999||Roger Miller|||1992-01-01|1936-01-01||||soundtrack,actor,music_department|
3000|Episode #1.10||10|1||||1971-01-01|Drama||
3001||Pierre Braunberger|||1990-01-01|1905-01-01||||producer,actor,writer|
3002||Dean Parisot||||||||director,producer,writer|
3003||William Forrest||||||||writer|
3004|Living on the Edge||2|1||||2004-01-01|Documentary||48
3005||Bruce Gordon|||2011-01-01|1916-01-01||||actor|
3006|The Reunion||3|7||||2009-01-01|Comedy||30
3007||Y?ki Kaji||||1985-01-01||||actor,soundtrack|
3008||Lucia Huergo|||2015-01-01|1951-01-01||||composer|
3009|Lupin the Third: A Woman Called Fujiko Mine||||||2012-01-01|2012-01-01|Action,Adventure,Animation||20
3010||Suzanne Charny||||1944-01-01||||actress|
3011||BarBara Luna||||1937-01-01||||actress,producer,soundtrack|
3012||Paul Langton|||1980-01-01|1913-01-01||||actor,soundtrack|
3013|The Trouble with Laury's Men||22|7||||1960-01-01|Drama||30
3014||Irwin Winehouse|||1966-01-01|1922-01-01||||writer|
3015|The Test||31|1||||1963-01-01|Drama,Sport,Western||30
3016||Jean Bouise|||1989-01-01|1929-01-01||||actor|
3017||Robert Bice|||1968-01-01|1914-01-01||||actor,miscellaneous,writer|
3018||Ney Latorraca||||1944-01-01||||actor,producer,soundtrack|
3019||Yu Ha||||1943-01-01||||actor,producer,miscellaneous|
3020|The Fifth Element|||||||1997-01-01|Action,Adventure,Sci-Fi||126
3021||Richard Belzer||||1944-01-01||||actor,writer,producer|
3022||Tamasabur? Band?||||1950-01-01||||actor,director,writer|
3023||Patrick Williams||||||||editor|
3024||Siegfried Wischnewski|||1989-01-01|1922-01-01||||actor,writer|
3025|Hotel Irritant||15|1||||1953-01-01|Drama||30
3026||Shane Grumph|||||||||
3027||Shovell||||||||soundtrack,actor|
3028||Christoffer Hjalmarsson||||||||writer,camera_department,miscellaneous|
3029||Lukas Ammann|||2017-01-01|1912-01-01||||actor,director,miscellaneous|
3030||David Perry||||1970-01-01||||actor,director,producer|
3031||Barbara Brown||||||||writer,miscellaneous,script_department|
3032||Clay Brooks|||||||||
3033||Robert Klupp|||1975-01-01|1890-01-01||||actor,miscellaneous|
3034||Gerald Mohr|||1968-01-01|1914-01-01||||actor|
3035||Aaron Kaplan||||1974-01-01||||composer,music_department,soundtrack|
3036||Phyllis Avery|||2011-01-01|1922-01-01||||actress|
3037|Full Moon||17|4||||1996-01-01|Crime,Drama,Mystery||
3038||Adrienne Marden|||1978-01-01|1909-01-01||||actress|
3039||Jaroslav Hasek|||1923-01-01|1883-01-01||||writer|
3040||Hugo Perez||||||||producer,director,writer|
3041||Donna Preising||||||||actress|
3042||America Ferrera||||1984-01-01||||actress,producer,soundtrack|
3043|Mi's Citizenship||23|2||||1962-01-01|Adventure,Drama,Family||30
3044||Claire Kennedy||||||||writer|
3045||Manuel Romero|||1954-01-01|1891-01-01||||director,writer,music_department|
3046||Ilya Skorupsky||||||||animation_department,art_department,director|
3047||Michael Dobbs||||1948-01-01||||writer,producer,actor|
3048||Emma Cunniffe||||1973-01-01||||actress|
3049||Zev Braun|||2019-01-01|1928-01-01||||producer,actor,executive|
3050||Thierry Arbogast||||1957-01-01||||cinematographer,camera_department|
3051||William Flaherty|||2000-01-01|1919-01-01||||actor|
3052||Pat Coleman|||1982-01-01|1926-01-01||||actor|
3053||Arthur Lovejoy|||1961-01-01|1902-01-01||||actor|
3054||Savin Yeatman-Eiffel||||1970-01-01||||writer,producer,director|
3055||Claudio Hughes||||||||editor,editorial_department,director|
3056||Enzo Forcella|||1999-01-01|1921-01-01||||writer|
3057||Karen White||||||||actress|
3058||Maggie Gans||||||||actress|
3059|Eupoly|||||||2013-01-01|Documentary||224
3060|The Secret||22|3||||1956-01-01|Drama||30
3061|All Through the House||8|3||||1994-01-01|Crime,Drama,Mystery||
3062|The Life and Ascension of Yuras Bratchik|||||||1967-01-01|Comedy||81
3063|Spin a Golden Web||9|1||||1962-01-01|Drama,Sport,Western||60
