id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/abstract|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/releaseDate|https://www.scads.de/movieBenchmark/ontology/job
4058||Nikea Gamby-Turner|||||guestStars
4059||Frank Buckley|||||guestStars
4060||Jay Tobias|||||directors
4062||Lance Carter|||||guestStars
4064||Francis McDonald|||||guestStars
4065||2009-03-23|||||guestStars
4068|Cradle||Having witnessed her father Joe being arrested for the murder of her mother Eunice, Helen shows up at Janet’s door saying that she believes her brother Michael might be buried in the cellar of the family home. After the remains of a second body are discovered, the case becomes much more serious and Det. Supt. Dodson is drafted in as the S.I.O, with Gill as her deputy.|4.0|3.0|2013-04-24|
4069|Tsubasa Tiger - Part 1||It's the beginning of the second semester and on her way to the first day of school, Tsubasa has a short meeting with Mayoi who reveals that she has just came from Koyomi's house where she forgot her backpack, but could not retrieve it as he was not at home by that time. Soon after, Tsubasa has an encounter with an apparition in the form of a huge white tiger who just passes by her and upon arriving at school she tells Hitagi about it. Hitagi points out that despite Koyomi is for sure be the best person to assist her, Tsubasa did not call for his help at all, also remembering that in fact he always stood for them without the need of asking him. Some time later, Tsubasa and Hitagi watch smoke rising from afar and Tsubasa discovers that her house is on fire. With her house destroyed and no place to sleep, Tsubasa claims to her parents that she will sleep at a friend's house, but she decides to spend the night at the abandoned cram school where Oshino lived instead. Hitagi finds her there upon learning of her situation and decides to take her to her house, suspecting that the white tiger she saw might have some connection with the fire. After deciding to skip school for the next day, Hitagi and Tsubasa receive a mail from Koyomi, where he states that he must leave for a while to deal with some business of his and as they are about to take a bath together, Hitagi asks Tsubasa if she still loves Koyomi. Tsubasa instantly replies that she does. |1.0|3.0|2013-07-07|
4070||David Schwimmer|||||guestStars
4072|Nature||After two brothers torment ants at a picnic, they are shrunk by a mysterious ray and are forced to face the trials and tribulations of the insect world.|2.0|1.0|1993-09-25|
4073||Holly Kaplan|||||guestStars
4074||Taylor Kitsch|||||actor
4076||Wesley Lau|||||guestStars
4078|Super Helico ~ Durama 7 Ace|||45.0|1.0|2008-02-03|
4079|Man On Wire|||75.0|0.0|2014-10-22|
4083||Felix E. Feist|||||director
4084|Please Believe Me|||18.0|3.0|1962-02-04|
4085||Andy Richter|||||guestStars
4087|Something Sacred (1)||Kellerman is trying to find Lewis, who's disappeared since his suspension. Bayliss is on vacation. Stivers rotates into homicide and Kellerman isn't happy to see her. A priest is found murdered. Falsone attends a custody deposition hearing. A tape is delivered to Channel 11 that contains some startling information from a Swami about the priest's activities involving young boys. Munch and Kellerman seek out the two boys who were at the scene of the crime; meanwhile the other detectives seek out the Swami. Both are located, though the boys do not provide anything conclusive; they are held in protective custody. Kellerman searches for Lewis. Meanwhile, church members protest in front of the station house. Falsone gets his son for a weekend. Ballard and Gharty detain a corner kid who might be identifiable as one of three who had frightened a priest. Unfortunately, that priest (a monsignor) can't make a positive ID. Because of public pressure, the boys are released from custody to stay with|12.0|6.0|1998-01-30|
4091|Episode 3|||3.0|2.0|2018-03-23|
4092||Kevin Grantz|||||guestStars
4097||Jack Frost|||||guestStars
4101||Jewel Staite|||||actor
4102|The Lefty Call||Larry regrets getting Cha-Cha a job in his building when she monitors his bathroom habits, and runs into further problems with her when he has to make phone calls 'lefty'; the Blacks and Larry are fed up with Cheryl's environmentally conscious, but uncomfortable, toilet paper; a waiter objects to a doggie bag actually being prepared for a dog.|4.0|6.0|2007-09-30|
4103||George Worthing Yates|||||writers
4104|Mother of All Murders ||The murder of Isabelle Pedrosa, who was killed while husband Miguel was serving time in prison facing domestic violence charges in December 2002. It transpired her 17-year-old daughter Linda and the teenager's boyfriend Antoine Wright struck her on the head and then strangled her so they could spend more time together|10.0|2.0|2015-02-07|
4105||Fritz Muliar|||||actor
4107|Hide and Seek||During a game of hide and seek, Monty wonders whether there is a way to hide other than in or behind something.|48.0|1.0|2017-07-05|
4109|Vengeance||While Zedd and his brother seek revenge for the murder of their father, a stranger steps into Richard's life to send him on a collision course with Zedd.|17.0|2.0|2010-04-17|
4110|Korunovace||Je rok 1791 a v Praze se p?ipravuje korunovace Leopolda II. ?esk?m kr?lem. Do Prahy se chystaj? i obyvatel? Dobru?ky, v?etn? Franti?ka a M?rinky s jej? babi?kou. Franti?ek cht?l p?vodn? sledovat korunova?n? pr?vod s p??telem Hn?vkovsk?m, nakonec ale p?ijde za M?rinkou.|11.0|1.0||
4111|Blood Brothers||'Les, Michael and Gary Murphy, brothers from an Irish family of nine children, were three of the five men convicted of the savage rape and murder of Sydney nurse and beauty queen, Anita Cobby, which sparked calls for the reintroduction of the death penalty. The others were John Travers and Michael Murdoch.Michael Murphy, 33 at the time of the murder, was the eldest of the nine Murphy children. He had been sent to live with his grandmother when he was 12. His brother Gary Murphy was five years younger. Hearing impairment affected Gary Murphy's schooling and he left early to seek work. His strong interest in cars led to him facing several automotive theft related charges in the years before the murder. He was also known to have a very violent temper.Leslie Joseph Murphy was the youngest of the Murphy children, but was known as having the worst temperament. He had faced Children's Court on many occasions for a number of theft-related offences and was 24 at the time of the Cobby murder. Travers was a depraved 18-year-old who had grown up in a dysfunctional family in the outer suburbs of Sydney. He shared his blood with best mate Michael Murdoch in a ceremony that made them so-called blood brothers. The five are serving life sentences for the murder.|5.0|4.0|2010-12-07|
4112||Sam Pancake|||||guestStars
4113|Fury||Richard's attempt to teach a peaceful people how to defend themselves unleashes an uncontrollable rage that threatens to consume them and destroy the Seeker.|6.0|2.0|2009-12-12|
4114||Timothy Hutton|||||actor
4117||Anthony Ramirez|||||guestStars
4120||Miriam Datskovsky|||||writers
4124|Map of the Heart||'A prominent attorney is murdered and the murderer presents himself to Pembleton and Bayliss with a videotape that implicates him. Brodie works on increasing his self-image. Kellerman is determined to find out who's the ''''lunch bandit.'''' The NSA steps in on Pembleton's murder investigation and provides him with a guilty party, even though they know he didn't do it. Bayliss' disgust with the interference doesn't sit well with Gaffney who wants to charge him with insubordination.|19.0|4.0|1996-04-26|
4125||Tyrone Alonzo Rouege|||||guestStars
4126||Madeline L. Austin|||||guestStars
4128|Ice Salvage Crew||Mike gets dirty in Alaska as he helps protect the environment by cleaning up an oil spill. He then travels to Minnesota where he works to pull a car out of a lake that has fallen through the ice.|12.0|4.0|2008-05-19|
4131||Kelly Reilly|||||actor
4132||Ben Lewin|||||director
4133||Christian Benz Belnavis|||||guestStars
4134||Ashlyn Ani|||||guestStars
4136|Sponge Bridge II ~ Bamboo Derby III|||43.0|1.0|2008-02-03|
4140||Lisa Lee|||||guestStars
4142||Valerie Karasek|||||guestStars
4143||Jongman Kim|||||guestStars
4146||BET|||||
4148||Jeffrey Wright|||||guestStars
4149|Dragon Ball GT||Ten years have passed since Goku left his friends and family to hone his skills. But Goku soon finds himself helpless against the mystical power of the Dragon Balls and an accidental wish made by the devious Emperor Pilaf. His desire; that Goku once again become a child! Not daunted by this small setback, Goku, together with Trunks, and his own granddaughter Pan, blast off into the outer reaches of space in search of the mysterious Blackstar Dragon Balls. But these Dragon Balls have a fatal secret: if not collected within one year Earth will be destroyed.|||1996-02-07|
4150|Survival|||13.0|3.0|1961-12-31|
4151|Perfect Strangers||82-year-old Irene Silverman has just rented a room in her Upper East Side mansion to 23-year-old Manny Guerrin-a charming businessman. But Manny is not alone, and soon after his arrival dark secrets come to light and an epic clash ends with murder.|7.0|1.0|2013-12-14|
4152||Salvador Baguez|||||guestStars
4153|Subway||A man falls between the cars of a subway train in front of horrified witnesses. Was he pushed? While the man is still alive, the prognosis is he will be dead the moment they extract from the position he currently occupies: pinned between the train and platform. Homicide is called in light of this condition and the fact he may have been pushed. Pembleton questions the victim, and Bayliss questions the witnesses, especially a strange one named Larry Biedron. The victim has no relatives in the Baltimore area. He does have a girlfriend who is supposed to be jogging in the area; Lewis and Falsone try to find her to bring her to the scene.|7.0|6.0|1997-12-05|
4154||Joe Hansard|||||guestStars
4155||Julie Claire|||||guestStars
4160||Lemuel Wills|||||guestStars
4161||Molly McGlynn|||||director
4162|Spanish On The Fly|||6.0|1.0||
4163||Lyle Weldon|||||writers
4164||Richard Kind|||||guestStars
4168||Nisha Pahuja|||||directors
4169|Chick Sexer||Baby chicken sexer, beer brewer, oyster harvester |4.0|1.0|2005-08-16|
4170||Jill Redding|||||guestStars
4171||Antoinette Spola|||||guestStars
4172||Zach Galifianakis|||||writers
4173|Tsubasa Family - Part 4||Araragi begs Shinobu for her help, which she eventually provides. He then formulates a plan to confront the Curse Cat and save Hanekawa.|6.0|0.0|2012-12-31|
4174|Take a Break||When Monty sees Violet enjoying doing absolutely nothing, he starts to wonder if it is a good thing to take a break and relax.|53.0|1.0|2017-07-12|
4175|Longoar Bay, Pembrokeshire|||6.0|1.0||
4176||Pete Burris|||||guestStars
4178||William Spencer Ross|||||guestStars
4179||Scotty Morrow|||||guestStars
4180|Episode 6|||6.0|2.0|2017-08-21|
4181||Kristine Huntley|||||writers
4182||Barbara Kopple|||||directors
4183||Kate Mara|||||actor
4184|Dirty Jobs||DIRTY JOBS profiles the unsung American laborers who make their living in the most unthinkable -- yet vital -- ways. Our brave host and apprentice Mike Rowe will introduce you to a hardworking group of men and women who overcome fear, danger and sometimes stench and overall ickiness to accomplish their daily tasks.|||2003-11-07|
4185|Whale||Isabella Rossellini explores the mating habits of whales.|2.0|2.0|2009-04-01|
4187||Tom O'Connell|||||guestStars
4188|The Best Tests: Part 2|||3.0|0.0|2019-05-03|
4189|The Bellicose Proxy||The Monarch and 21 play a deadly game of tutoring an inexperienced villain; a hot plate of danger is served up with a side of hilarity.|6.0|7.0|2018-09-10|
4190|Hillary Clinton||Hillary Clinton sits down with Zach Galifianakis for her most memorable interview yet.|22.0|1.0|2016-09-22|
4193||Stephen Ouimette|||||guestStars
4195|A-C- ACTION||JJ’s thrilled when he is chosen by his classmates to film his horror movie project, but soon the pressure of directing gets to him. Meanwhile, Dylan’s class project reveals a family secret; and Jimmy’s suggestions for the neighbor’s house construction project backfires for the DiMeos.|17.0|2.0|2018-03-14|
4196|Sink or Swim|||11.0|2.0|1960-12-19|
4197||Philip Anthony-Rodriguez|||||guestStars
4199|Justice (2)||Jake Rodzinski has trouble dealing with the verdict of the trial and takes justice into his own hands. Kellerman is back from a family wedding in Wisconsin picks up the case of the murder of Kenny Damon. Lewis is not allowed to know all the details of Kellerman's investigation, because of his past relationship with Rodzinski, their chief suspect. Bayliss is at odds with Pembleton over the disposition of a grilled cheese sandwich.|14.0|4.0|1996-02-23|
4200|About Religion with Teemu Laajasalo||Convesation after Document Kumare, aspect of religion and guru culture|1.0|1.0|2013-08-28|
4203||James Slaughter|||||guestStars
4205||Daniel Mainwaring|||||writers
4206|Happy Ordinary Day||Monty is in the mood for celebrating and begins to wonder if you really can only celebrate big, special occasions.|19.0|1.0|2016-09-01|
4207||Mark Pellington|||||director
4209||Tricia O’Kelley|||||guestStars
4210|Fujiko Mine's Lie, Part 1||Fujiko befriends a young boy whose late father hid away a treasure, but a killer is on the boy's trail.|5.0|0.0|2019-05-31|
4211|S-T-- STAGE MOM||Seeing the kids believe she exists to solely serve at their pleasure, Maya takes the stage to prove she has so much more to offer. Kenneth finds JJ a job, and JJ finds an unlikely rival. Ray goes undercover informing parents on his classmates’ social lives and gets in too deep.|5.0|3.0|2018-11-09|
4212||Irwin Winehouse|||||writers
4213||Nia Vardalos|||||guestStars
4214|Vega Gate||A famous singer named Ritchie Valenti arrives at Electro City for the first time in fifteen years. Vega is at the harbor where he arrived, not happy at all. He leaves a letter in Valeti's car. Friedrich receive an anonymous call about meeting between a blackmailer and his victim in the following night. It's Vega whose meeting with Valenti. Vega smacks the singer, grabs the suitcase and takes off. When the police catches him, the suitcase breaks open and he gets arrested. The next morning at the Express, Cosmo is interviewing Senator Dobbs, when Angel announces Miss LeSage. She's surprised to see Dobbs, but it turns it's really Ace. She tells them that Vega's been arrested. Ace learns that Vega's bail is $150,000,000 Electro dollars. Ace visits Vega in prison and asks him what happened. But Vega remained silent. Ace pays the bail, but is informed that it will take some time for the paperwork to go through. Friedrich tells Ace, that Vega has already been involved in a scandal with Valent|13.0|2.0||
4216||Chiwa Saitou|||||actor
4217||Timothy Hornor|||||guestStars
4219||Frederika Kesten|||||guestStars
4220||Judah Friedlander|||||guestStars
4222||Billie Jackson|||||guestStars
4223||Andy Bichlbaum|||||writers
4224||Vivienne Shub|||||guestStars
4225||Kerry Cahill|||||guestStars
4226||Alexander Gaberman|||||guestStars
4227||Keone Young|||||guestStars
4228|Change||'Rachel (Suranne Jones) is criticised for the lack of progress in the investigation and with Steve Dench (Richard Riddell) still the prime suspect, she knows she must find both a murder weapon and the encryption code used to access the Taking Out The Trash website. Then, they not only get Steve for multiple murders, but they also find the man he’s playing his sick game with.  Discovering that the witness at Michael Edgerton’s murder may be one of the killers marks a big breakthrough, and with the attacks increasing, Rachel hopes that the killers will start to make mistakes.  The appearance of a star on Rachel’s gatepost terrifies Alison (Sally Lindsay) and when Julie Dodson (Pippa Haywood) finds out, Rachel’s position as Acting DI is jeopardized.  But with new evidence challenging Steve’s alibi and a positive ID of the witness, Rachel is determined to hang onto the case. When Janet’s (Lesley Sharp) attempt to help Taisie (Harriet Waters) results in a complaint, her faith in doing everything by the book is rocked, and with Rachel’s pregnancy out in the open, both Scott and Bailey have life-changing decisions to make about their futures.|3.0|5.0|2016-04-27|
4229||Jolene Blalock|||||guestStars
4230||Frank Ray|||||writers
4231|Fondly, Goodbye|||13.0|1.0|2016-10-03|
4232|Lady from South Chicago||Mme. Victorine Reynard, a Frenchwoman, now lives in style in the South Seas. A friend who is actually an escaped convict from Australia, comes to see her.|4.0|1.0|1959-11-02|
4234||Scott Johnson|||||director
4235|Bop Gun||All the detectives scramble to solve the case, when the mother, in a family on vacation, is murdered during a holdup. The husband has a hard time dealing with the reality of him not doing anything during the situation and Felton's indifference. When the suspects are found Howard is convinced that the youth who confesses to the murder didn't do it.|1.0|2.0|1994-01-06|
4236||Tim Houston|||||guestStars
4237|Signing Off||'In the Season 2 finale, Mary Jane moves into a primetime position at SNC; and, just as she settles into a relationship with Sheldon, receives mind-blowing news about David. In other events, the Patterson family gathers to celebrate Paul Jr.'s graduation from architecture school.|12.0|2.0|2015-04-14|
4238||Francis Bethencourt|||||guestStars
4240||Lee Yo-Won|||||actor
4242|Cold Sweat (1)||After fifteen years in Cryogenic Suspension, a old friend of Ace named Gus Moreland awakens, looking like a frozen body and escapes from the Cryogenic Center. When he sees a poster of The Magician, the first thing on Gus's mind is getting revenge. Meanwhile, Ace bails Cosmo out of trouble with the polce and reminds him to be careful about doing many misdeeds before they catch up with him. Later, Ace performs his usual spectacular show with his panther panter Zina. After the show though, Moreland thinks he found Ace and just when was about to knock him down though, it turns out that it was somebody else wearing a similar cape. At the hospital, Vega grows concern about the dangers Ace could face so he sends two bodyguards to watch over him. Moreland goes back to the Cryogenic Center and forces Dr. Charles, the scientist-in-charge to make him look normal again. Charles gives him the temporary injection and Moreland goes after Ace through Cosmo. When Cosmo was blocking Moreland's way, he t|21.0|1.0|1999-07-09|
4243|Super Rider II ~ Ottoto 9|||33.0|1.0|2008-02-03|
4244||Christopher Northup|||||guestStars
4245|Divadlo||Franti?ek ??inkuje jako hudebn?k v Boud?. K Butteauov?m te? ale nedoch?z?. V?k?v otec se dozv? o jeho ??inkov?n? v divadle a rozjede se do Prahy, chce, aby se s n?m syn vr?til dom?. Franti?ek nechce a otec se ho z?ekne. Franti?ek m? m?lo pen?z, na studi?ch chce vytrvat, a proto chce odprodat sv? knihy. Nakladatel Kramerius je ale vezme jen do z?stavy. Th?m se Franti?kovi sv???, ?e je zamilovan?.|5.0|1.0||
4247||John Pleshette|||||guestStars
4248|Siberia||'It's summer solstice in Siberia, a time of endless daylight and extraordinary festivals.Bruce Parry journeys to meet the Sakha horse people and a remote encampment of Eveny reindeer herders in the wild Verkhoyansk Mountains, where he finds out how they are embracing the challenges of a post-Soviet Arctic.For Bruce, it's also a journey of personal discovery as he goes in search of the ancient shamanic religion of these wild northern lands.|1.0|1.0|2011-01-02|
4249|Episode 16|||16.0|2.0|2017-09-05|
4251|The Lakes||Doom-laden but compelling BBC1 drama series embracing sex, death and Catholic guilt, set in a small community in the Lake District. The first four-part series centred on newcomer Danny Kavanagh; the second 10-part series featured other characters in the community.|||1997-09-14|
4252|Episode 9||Lucy takes to the stand in court to give her account of the night she was raped. Her evidence reveals to Emma that Danny has been telling her the truth. Peter reacts with fury when he learns of Bernie's affair. Beverly pays a visit to John in jail.|9.0|2.0|1999-03-07|
4253|A Seinfeld Moment on Curb|||36.0|0.0||
4254|December Bride||Charming and wise Lily Ruskin lives with her daughter and son-in- law who, along with her close friend Hilda Crocker, are always trying to find suitable older marriageable companionship for her. Running comedy bits included neighbor Porter's complaints about his (heard but unseen) wife Gladys.|||1954-10-01|
4256||John Vickery|||||guestStars
4257||Bryan Spicer|||||directors
4260||Christopher McCulloch|||||actor
4264||Anna Jaller|||||guestStars
4266|A Whale of a Tale|||6.0|2.0|1960-11-07|
4267||Michael Radford|||||directors
4268||Dan Delafield|||||guestStars
4272||Larry Gillard Jr.|||||guestStars
4275|Ougi Dark - Part 3||After being exposed, Ougi is about to be engulfed by the darkness, but Koyomi refuses to give up on her and Meme reappears in the nick of time to save them.|7.0|5.0|2017-08-13|
4277||Susann McCormack-Pike|||||guestStars
4279|The Night's Alright||Even though it is bedtime, Monty and Jimmy Jones aren't tired and Monty wonders if the night is really just for sleeping.|16.0|1.0|2016-08-29|
4283||Patrick Trainor|||||guestStars
4287|Hardbeat||'A new kind of music comes to Electro City: Hardbeat. All the kids are wild about it and since DJ Mickus create this new sound, he is coming to town, everyone wants to go to this party, including Cosmo. However, Hardbeat is also blamed for more and more violent outbreaks among teenagers, who aggressively attack innocent people and destroy property after attending Hardbeat parties. Ace is worried about Cosmo and asks him to help on a levitation number instead of going out, but Cosmo says he needs to go out more since he hasn't had any fun for a week. Illegally recording live performance of Mickis at the dance club, Cosmo plays the Hardbeat on his Earman as he rollerblades home and his aggressiveness rises, letting him not only a young couple in a restaurant but also the police. Ace is called by Vega to pick him up from jail. He asks Cosmo not to go to another Hardbeat party, but Cosmo says rudely, ''''The last time I checked, you still weren't my father''''. Ace decides to accompany Cosmo and|8.0|2.0||
4290||Miyuki Sawashiro|||||actor
4291||Azura Skye|||||guestStars
4295|Turkey Farmer||Turkey farmer, potato farmer, waste water sewage plant|2.0|2.0|2006-01-17|
4296||Arthur Stander|||||writers
4299|The Venture Bros. and the Curse of the Haunted Problem||The Venture headquarters is either possessed, just regular haunted, or suffering from a computer glitch; Dr. Orpheus and the Order of the Triad are called upon to unlock the mystery.|1.0|7.0|2018-08-06|
4300|Bot Seeks Bot||Brock goes undercover to rescue a volunteer undercover operative helping the OSI track down the Council of 13, and ends up in a night club... of doom!|7.0|5.0|2013-07-14|
4303||Kevin Nelson|||||guestStars
4305||Paul Ben-Victor|||||guestStars
4310||Lennon Parham|||||guestStars
4311||Takeshi Koike|||||director
4312|Three Men and Adena||Pembleton and Bayliss have only twelve hours to grill their prime suspect in the Adena Watson case before they must let him go.|5.0|1.0|1993-03-03|
4314||Steven Culp|||||guestStars
4315|The Second Golden Time||A schizophrenic suicide bomber takes a subway train hostage, and the Gold Time Team is the first to respond. Team Leader Kang Kwon Joo and her team do whatever it takes to calm the bomber and bring the hostages to safety. Meanwhile, returning Team Leader Jang Gyeong Hak is kidnapped, leaving the Golden Time Team to track his whereabouts that leads to a serial killer.|1.0|2.0|2018-08-11|
4316|Episode 18||Come back from the resort, Jandi and Jihoo visit Buddhist temple to clean their mind away. However, when Jandi returns, she finds out that her parents have decided to move to a fishing village to earn money. Junpyo wakes up and finds out that Jaekyung has prepared him the breakfast. Jaekyung says that she always dreamt of this, and Junpyo feels pity for her. Yijung tells junpyo that Jandi stopped swimming because of her shoulder injury, and Junpyo feel guilt and regret. Jandi moves to a rooftop house and is surprised when Junpyo unexpectedly shows up as her neighbour. Gaeul decides not to hide her feeling anymore and asks Yijung out on a date. Yijung rejects it but comes back to see her few days later.|18.0|1.0|2009-03-09|
4318|Black Cat||'As Ace and Zina were working on their new ''''disappearing panter'''' trick, Lt. Vega comes to the Magic Express to capture Zina. Vega is accusing Zina of being Electro City's only loose black panther and attacking a scientist named Professor Sticks the night before. Ace recalls waking up during the night to see Zina return to his room but not knowing where she went. He goes with Vega to the crime scene and is surprised at Zina'a behavior as she suddenly take off. Not knowing why, Vega takes Zina to the police headquarters for tests while Ace and Cosmo go visit a circus which seems to have a wild cat of its own. There they meet their old friend, Yokiko the animal trainer who tells them that her pet black panter, Kim Cougar being kidnapped a few weeks earlier. Things get more complicated when Zina escapes the police headquarters when she was about to be put to sleep. Fortunately though, with Cosmo's traking device, Ace, Cosmo, and Yokiko not only catch up with Zina but also found Kim Cougar a|16.0|1.0|1999-06-18|
4319|The cricket and the violin|||4.0|1.0||
4320|The Smiley Face||Larry challenges the rules of dating and rethinks a decision regarding a new workplace neighbor. Meanwhile, Jeff invents an ill-advised excuse to get out of a dining engagement. |4.0|8.0|2011-07-31|
4321|Episode 10||'Yijeong unexpectly sees Gaeul on the street and helps to revenge her bad boyfriend. Jandi clears up her misunderstanding about Junpyo, and the two go out on a date on Valentine’s Day. They bump into Junpyo’s mother, and Junpyo tells her not to do anything bad to Jandi. The mother, who doesn’t even think of F4 as the friends of Junpyo, starts her next action to cut Jandi off from Junpyo as she thinks Jandi is ridiculously improper to her son.|10.0|1.0|2009-02-03|
4322||Tarja Halonen|||||guestStars
4323|Like A Pierrot IV ~ Kangaroo|||28.0|1.0|2008-02-03|
4324|Episode 1||Jan-di is an average high school girl whose parents operate a Laundromat. One day she delivers laundry to Shin-hwa high school, where the top 1% of the wealthy children gets to go, and accidentally saves a student from a suicidal attempt. After this incident, she is scouted to this prestigious school as a swimming athlete.|1.0|1.0|2009-01-05|
4325||??????|||||writers
4329||Alana Campbelle|||||guestStars
4330||NTV (JP)|||||
4333||Olivia Burnette|||||guestStars
4335|Operation Big Freeze||To gain control over all of Limbo, Mon-Star orders Windhammer and Hardware to freeze the entire galaxy of Limbo. Will the SilverHawks be able to stop the mob's cold front or will they be iced?|17.0|1.0|1986-09-30|
4338|Behind the Scenes||Interviews with the cast|1.0|0.0||
4339||Bella Thorne|||||guestStars
4341||William Fairchild|||||guestStars
4343|Uber Love ||'Mary Jane confronts several people; Lisa and Mary Jane's friendship is put to the test.|8.0|1.0|2014-02-25|
4345|Pinocchio's Song||Kang Woo returns to Korea and reports to the higher ups about what he has been doing and the cartel that is behind Doctor Fabre. Kang Woo insists on apprehending the perpetrators, but the commissioner is against it. To convince the commissioner, Kang Woo offers to resign as soon as the case is closed. Meanwhile, a member of Doctor Fabre, Kwak Dok Ki, is found dead. (Source: Viu)|3.0|3.0|2019-05-18|
4346||Larry Gilliard Jr.|||||guestStars
4347|Showdown at Cremation Creek (1)||Dr. Girlfriend finally accepts the Monarch's wedding proposal... if he calls off his grudge with Dr. Venture. He agrees, but things take a turn for the worse when his henchmen mistakenly capture Team Venture, while the Phantom Limb vows not to take his break-up lightly.|12.0|2.0|2006-10-08|
4348|True Detective||An anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.|||2014-01-12|
4349||Allison Smith|||||guestStars
4351|Robert Blake||In the series premiere, the murder of Robert Blake's wife is spotlighted.|1.0|1.0|2016-09-10|
4352||||11.0|1.0||
4355||Joe Perrino|||||guestStars
4357||Weston I. Nathanson|||||guestStars
4358||Mary L. Watson|||||guestStars
4361||Charles McDougall|||||director
4362||Max Lamb|||||writers
4364||Fran?ois-Eric Gendron|||||actor
4366||Howie Mandel|||||guestStars
4367|Now Am Found||Wayne struggles to hold on to his memories, and his grip on reality, as the truth behind the Purcell case is finally revealed. |8.0|3.0|2019-02-24|
4368||Matthew Walker|||||guestStars
4369||Ann Dowd|||||guestStars
4370||Jan Pivec|||||actor
4371||Brian Hemmingsen|||||guestStars
4372||Ted Raimi|||||guestStars
4375||Napua Wood|||||guestStars
4376|The Messy War||Frightened for his life and for his family's, Oda tells Fukuda to drop everything on Hiroshi. However, Matsuura claims that he'll take it into his own hands. Later that night, Young Jin goes to see Hiroshi at his house and sits with him face-to-face with a hidden gun.|33.0|1.0|2019-06-29|
4377|Dirtiest Machines on the Planet||Mike Rowe hosts a very special episode of Dirty Jobs as he looks back at some of the world's dirtiest machines that are making civilized life better for the rest of us. |11.0|0.0|2007-07-24|
4379||Jack Heller|||||guestStars
4380||Steve Carell|||||guestStars
4381|The Car Pool Lane||To get to a Dodgers game, Larry finds a creative way to use the HOV lane.  Then, he finds himself in a bit of trouble when he gets his father medicinal marijuana.|6.0|4.0|2004-02-08|
4382|Image Comics: Declaration of Independents||Seven renegade artists shock the comic-book industry by starting their own company, Image Comics, to rival giants Marvel and DC.|6.0|1.0|2017-12-11|
4383||Julie Lauren|||||guestStars
4385|The Honor of Cochise||The Cartwrights and a bigoted army captain are pinned down by Cochise and his braves, who claim the officer poisoned 30 of their people. |3.0|3.0|1961-10-08|
4386|Ballroom||The gang decides to join Ash and Jess at a ballroom dancing class. Nimble on his feet, Stuart quickly becomes teacher's pet, leaving Freddie in a huff, while Violet becomes a hit with the amorous teacher in other ways.|3.0|2.0|2015-06-15|
4387||Darnell Martin|||||directors
4388||Rafael Alvarez|||||writers
4389||Avery Kidd Waddell|||||guestStars
4390||Meera Syal|||||actor
4392|Hostile Makeover Epilogue||The Venture family settles down for breakfast in their new home in Manhattan. Hank shows off his newest purchase.|7.0|0.0|2016-02-01|
4394|Fly||Isabella Rossellini explores the mating habits of flies.|7.0|1.0|2008-05-05|
4395||Al Pitcher|||||guestStars
4396||Michael Lehmann|||||directors
4398||Son Eun-Seo|||||actor
4399||Tim-Tom Moppet|||||guestStars
4401||Dave Lamb|||||actor
4402||Gene Levitt|||||director
4405||SVT|||||
4406||Lesley Sharp|||||actor
4407||Bob Weide|||||director
4408||Bob Weide|||||directors
4409||Oliver Muth|||||actor
4411|Facing Fears||In the Season 3 premiere, Mary Jane is rushed to the hospital following her accident; Paul Sr. handles David; and Helen deals with Lisa.|1.0|3.0|2015-10-20|
4413||James Neilson|||||directors
4415||Justin Louis|||||guestStars
4417||Rhys Muldoon|||||actor
4418||Cheryl Donaldson|||||guestStars
4419|Special Guests: Li Andersson and Susanna Koski|||65.0|0.0|2014-10-01|
4420||Olivia Colman|||||actor
4421||Mario Van Peebles|||||director
4422||Jennifer K. Dawson|||||guestStars
4424||Tuuli Kaskinen|||||guestStars
4425|The Crusader's Son||The case of Oregon mother Mary Louise Thompson who, in 1994, ordered two teenagers to kill 17-year-old Aaron Iturra to prevent him from testifying against her son in a gang-related assault case|8.0|2.0|2015-01-24|
4426|The Western Book of the Dead||The disappearance of a city manager disrupts a lucrative land scheme and ignites an investigation involving three police officers and a career criminal who is moving into legitimate business.|1.0|2.0|2015-06-21|
4427||John Louis Fischer|||||guestStars
4428||George Pesce|||||guestStars
4430|Execution||'Adult movie star Vicky Birkinshaw finds herself being arrested on suspicion of her murdering her husband three weeks after she reported him as having disappeared. Rachel has to go through the woman's home-made pornography collection to look for clues. The case ends up taking a dark twist after Vicky's daughter turns up with an older boyfriend.|4.0|1.0|2011-06-19|
4432||Ben Wright|||||guestStars
