id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/abstract|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/numberOfSeasons|http://dbpedia.org/ontology/numberOfEpisodes|http://dbpedia.org/ontology/birthDate|http://dbpedia.org/ontology/releaseDate|https://www.scads.de/movieBenchmark/ontology/last_air_date|https://www.scads.de/movieBenchmark/ontology/release_year|http://dbpedia.org/ontology/runtime|https://www.scads.de/movieBenchmark/ontology/genre_list|https://www.scads.de/movieBenchmark/ontology/origin_country
2374||Cl?udio Vidal||||||||||||
2375||Friedrich Sch?tter||||||||||||
2376|Peril at Pitcairn||During a vacation in Papeete, Captain Troy lets himself be convinced to board some passengers and sail to Pitcairn Island. However, a few hours before their arrival on the island, one passenger is stabbed with a knife belongiing to the Tiki, Troy's schooner.|9.0|1.0||||1959-12-07||1959-01-01|||
2377|Election|||10.0|1.0||||2008-08-17||2008-01-01|||
2378||Yuka Iguchi||||||||||||
2379||Hiroyuki Tsuchiya||||||||||||
2380||David Rupel||||||||||||
2381||Jan Kraus||||||||||||
2382|Episode 1||'Sketches:Asians world,Tandoori Cooking,The Love Dance - Club,Check Please - Asain Woman,Bollywood Star - Sir Jankie,Check Please - Holding Hands,Mrs 'I Can Make It At Home' - Paris,The Love Dance - Ball,Swingers and Asians,Muslim Harassment,Guru -  Female Auras,The Love Dance - Gentlemen's Club,My Son - Fertility,Check Please - Moustache,New Zealand from Cousin,Smita Smitten - Birthday Bash,Check Please - Ass,Come On Binder, Let's Go Bhangra - Punjabi Girl,Guru -  Scrabble.|1.0|2.0||||1998-11-13||1998-01-01|||
2383||Rengin Altun||||||||||||
2384||Christiane Tricerri||||||||||||
2385||Panic Pictures||||||||||||
2386||Marlon Brando||||||||||||
2387|Joe Pera Talks You to Sleep||Joe Pera makes an honest attempt to talk you to sleep using mild jokes and low-key stories.||||||2016-03-22||2016-01-01|11|Animation|
2388|Arnau|||||1.0|5.0||1994-01-17|1994-02-14|1994-01-01|95, 45| Drama|ES
2389||Alonso J. Burgos||||||||||||
2390||Masatomo Nakazawa||||||||||||
2391||John Neville||||||||||||
2392||Sanjiv Jhaveri||||||||||||
2393||Lev Kruglyy||||||||||||
2394|Michael Kanaan- Shoot To Kill||'Michael Kanaan was an angry young man in a hurry to make a name for himself in Sydney’s underworld. But his volatile temper and penchant for violence soon led him to kill three men before he was finally captured in a wild shootout with Sydney police.Born in Australia in 1975 to Lebanese parents he grew up following American crime gang culture in films and music. As a teenager he moved into petty theft and assault before his first arrest, for drug possession, in his early twenties. Despite being given a suspended sentence and a two-year good behaviour bond, he was soon in trouble again, this time for common assault, for which he escaped with a fine. He quickly returned to drug dealing and his gang - known as ‘DK’s boys’ - made huge profits distributing cocaine in Sydney’s Kings Cross. His reputation grew and by 1998, at age 23, he had become a lieutenant to organised crime figure Danny Karam.Although outwardly courteous and well spoken, Michael Kanaan had an uncontrollable temper and did not hesitate to use violence to settle disputes. In July 1998, he made a passing comment to some people involved in a fight outside the Five Dock Hotel in Sydney’s inner west. When one of them approached him, Kanaan suddenly drew a pistol and shot two men dead. His attempt to shoot a third failed as he had run out of bullets.A few months later, Kanaan led his gang in a drive-by shooting attack on the police station at Lakemba in Sydney in which the building was sprayed with bullets. Soon afterwards he organised the brutal execution of his underworld boss, Danny Karam in December 1998.He was finally cornered by police and arrested after a shoot-out in inner city Rushcutters Bay in which Constable Chris Patrech was wounded.|7.0|3.0||||2009-08-27||2009-01-01|||
2395||Jun'ya Yamazaki||||||||||||
2396||Krishna Kumari||||||||||||
2397|Rocky Reach Dam||Mike journeys to Wenatchee, Washington to help maintain a hydroelectric dam. Then he explores a fish bypass system where he catches and tags fish and winds up wading through a pool of fish poop.|17.0|5.0||||2009-11-17||2009-01-01|||
2398|Heartbeat||Lewis and Kellerman interview a suspect and uncover a 10-year-old crime, which is assigned to Howard and Munch. Tim lets Frank's secret about Mary's pregnancy slip out. Howard and Munch find the body from the 10-year-old murder bricked up in a wall. John has a date with Alyssa, the ME, but finds himself in bed with her new roommate before their date, so he begins avoiding her. Howard and Munch's murder suspect has a fascination for former Baltimore resident Edgar Allan Poe. Munch plays up that angle while trying to break their suspect.|7.0|4.0||||1995-12-08||1995-01-01|||
2399||Jonathan Angell||||||||||||
2400|The Flight Of Prosperity||Two dangerous criminals have escaped from jail, Sally Blade and Bodycount. Both sisters worked for Black Jack. Meanwhile, a high technology ship named the Prosperity annouces it's flight. The ships was made for celebrities. The two criminals learn that Mona was one of the celebrites. When Mona is home from Ace's magic trick, the two blackmail, they demand her to help them steal Ace's anti-metal detector sensor so they can take the Prosperity hostage or Black Jack gets hurt. Mona agrees to help for her father's sake, the three goes to the Magic Express and Sally knocks Ace cold and the three takes off. The next day, Mona uses the anti-metal device sensor so she can sneak in a gun. When she gets to the ship, she holds the captain at gunpoint, demanding to take off the protective field. The two criminals take the ship hostage. Vega tries to stop them but gets beaten unconscious. Ace learns he can't page through his friend due to the high securtiy level. Ace also learns that the ship has a|2.0|2.0|||||||||
2401||Colin Brooks||||||||||||
2402|The Host and the Cloud||In a disused ethnographic museum located in a former human and animal zoo, an experiment unfolds over the course of one year.||||||2013-11-10||2013-01-01|122||
2403|Gorilla's Paw||Unpopular Walter would do anything just to be a member of Kingpin's secret club, assuming that it would make him popular.  To gain membership, Walter steals a gorilla's paw that grants wishes, though he's unaware that the wishes come with terrifying consequences.|10.0|1.0||||1993-11-20||1993-01-01|||
2404|[66] [EP3] Sodachi Riddle - Part One||In the aftermath of the previous day, Araragi is about to enter his classroom when Hanekawa informs him that a student absent all year is finally attending. The story pushes further into the past, as more of “what” makes Koyomi Araragi is revealed.|2.0|4.0||||2015-10-11||2015-01-01|||
2405||Molly McGlynn||||||||||||
2406||Motoki Matsumoto||||||||||||
2407||Isabella Rossellini||||||||||||
2408||Marijoy Adorable||||||||||||
2409|Extinction||Resurrected Darken Rahl risks the Keeper's wrath by acquiring the secrets of an ancient scroll, forcing the Seeker into an uneasy alliance with his evil brother.|19.0|2.0||||2010-05-01||2010-01-01|||
2410||Dar Zuzovsky||||||||||||
2411||Lee Kyu Ho||||||||||||
2413||Derek Ezenagu||||||||||||
2414|Strangers in Town|||23.0|1.0||||1958-05-04||1958-01-01|||
2415|Sink or Swim|||11.0|2.0||||1960-12-19||1960-01-01|||
2416||Felix E. Feist||||||||||||
2417||John Newland||||||||||||
2418||Peter Sarsgaard||||||||||||
2419||Todor Stoyanov||||||||||||
2420||Satoru Kousaki||||||||||||
2421|Episode 11|||11.0|3.0||||2019-06-15||2019-01-01|||
2422|Episode 5|||5.0|1.0||||2007-11-09||2007-01-01|||
2423||Safura Ibrahimova||||||||||||
2424|Valentine's Day||Brodie suggests that a classmate of his named Schack should be a suspect in the death of the student that Munch believes committed suicide. Frank and Mary meet with their marriage counselor and they begin to air some issues. Bayliss and Kellerman try to link together two deadly bombings. Schack attacks Brodie, but he can't prove it. He does offer a way to get Schack to admit to the murder. Frank tells Mary that he will agree to getting Olivia baptized. Mike connects the two bombings; the victims were both connected through the death of the Korean grocer who was murdered by a man who worked for Luther Mahoney. They suspect that there may be more bombs, including one at the courthouse where Meldrick and Julianna are waiting to meet with Judge Aandahl and Danvers, both of who were associated with the Korean grocer case. Frank arrives late to the baptism; Mary takes this as a sign and tells him she is leaving him for a while.|16.0|5.0||||1997-02-14||1997-01-01|||
2425||David Hemmings||||||||||||
2426||Marcos Barreto||||||||||||
2427||Gackt Camui||||||||||||
2428||Robert Clapperton||||||||||||
2429|Episode 19||Jihu runs out of the clinic and wanders in the rain. Jandi's heart aches for Jihu, as she nurses him all night long. At the same time, Junpyo awaits Jandi at the rooftop house. Yijung takes Gaeul out to the club, chats with other ladies, and makes her feeling uncomfortable. However, already knows the pain in his heart, Gaeul pities him instead. After finding out the whereabouts of Junpyo, his mother confines him to the house. Then she goes to Jandi to humiliate her in front of everyone. The next day, F3 and Gaeul visit Jandi to comfort her and they start rooftop room renovation. Jaekyeong takes Junpyo out from home and joins them, and when they all start ‘the truth game’, the tension starts rising.|19.0|1.0||||2009-03-10||2009-01-01|||
2430||Andrew MacDonald Brown||||||||||||
2431|The Night's Alright||Even though it is bedtime, Monty and Jimmy Jones aren't tired and Monty wonders if the night is really just for sleeping.|16.0|1.0||||2016-08-29||2016-01-01|||
2432||KBS2||||||||||||KR
2433|Episode 1|||1.0|2.0||||2015-04-08||2015-01-01|||
2434|Flesh Hunter 8||There are no words to adequately describe the action that takes place within this movie! Hardcore maverick Jules Jordan organizes the latest flesh hunt with some real game girls. See Alexis use her strap-on and Kylie get candle-wax training.||||||2005-02-28||2005-01-01|240||
2435|Aerial Tram Greaser||Mike heads to the site of a future California neighborhood where he learns that there's more to erosion control than one might think. Then Mike gets a bird's eye view of Palm Springs as he helps maintain and repair the tram 8,500 feet above the city.|10.0|4.0||||2008-05-05||2008-01-01|||
2436|The Challenge|||20.0|3.0||||1956-01-15||1956-01-01|||
2437|Robert Kirkman's Secret History of Comics||The six-part, one-hour documentary series takes a deeper look into the stories, people and events that have transformed the world of comic books.|||1.0|6.0||2017-11-12|2017-12-11|2017-01-01|42|Documentary|US
2438||Jean-Loup Dabadie||||||||||||
2439|Feeling No Pain|||33.0|2.0||||1955-04-17||1955-01-01|||
2440|Hurricane Audrey|||14.0|3.0||||1962-01-07||1962-01-01|||
2441|Widow's Walk|||5.0|1.0||||1957-10-24||1957-01-01|||
2442||Ji?ina ?t?pni?kov?||||||||||||
2443|Episode 2|||2.0|1.0||||2019-05-04||2019-01-01|||
2444|State of the Union||Greensburg is on the map and City Manager Steve Hewitt gets a surprise invitation from the White House. The townspeople are touched by corporate sponsors who help bring the town back to life by generous donations from John Deere and General Motors.|5.0|1.0||||2008-07-13||2008-01-01|||
2445||Susan Murdoch||||||||||||
2446|Pomp & Circuitry||Hank and Dean graduate from their education beds, and look into college. Hank rebels and tries to join Sphinx. Meanwhile, Phantom Limb breaks out of the Guild's dungeons and seeks revenge once more.|10.0|4.0||||2010-09-19||2010-01-01|||
2447||Lewislor Productions||||||||||||
2448||Joanne Shortt Butler||||||||||||
2449||Scott Stephens||||||||||||
2450||Mikhail Maklyarski||||||||||||
2451||Stefan Ilyev||||||||||||
2452|Michael Cera||Zach puts Michael Cera, the Superbad and Juno star in the hot seat for this special Comedy Death-Ray interview.|1.0|1.0||||2008-01-04||2008-01-01|||
2453||Walt Disney||||||||||||
2454||Kunka Baeva||||||||||||
2455|Hapless Holiday|||30.0|3.0||||1956-04-08||1956-01-01|||
2456|Fire (2)||'The fire investigation continues. Bayliss' back is acting up and Kellerman is paired with Pembleton. Kellerman shows Gee something, so he is offered a transfer into the department that he first rejects. Kay takes the sergeant's exam, Munch misses it due a ''''comedy of errors.''''|2.0|4.0||||1995-10-27||1995-01-01|||
2457||Scott Nicholas Amendolare||||||||||||
2458|Evil for Evil|||15.0|2.0||||1954-12-12||1954-01-01|||
2459||Said Talidi||||||||||||
2460||Mick Jones||||||||||||
2461|Episode 4||When a woman is found dead in a hotel room, the ads on a website might hold the key. Rachel enjoys her secret affair and Janet investigates speed dating.|4.0|4.0||||2014-10-01||2014-01-01|||
2462||Hiroyuki Ohkaji||||||||||||
2463||Jeff Garlin||||||||||||
2464|Brittle Bullet||It's Naota and Haruko Vs. Kamon and Canti in a battle with airsoft guns. As this deadly fight wages on, Kamon challenges Naota to a duel! The winner is left undetermined, as some of Naota's friends interrupt the duel and talk to him about how he saved the city from the satellite the other day. This causes the power to get to his head and he begins to act manly. This disgusts Mamimi and the others. To make matters worse, another Medical Mechanica comes out to threaten the city. Will Naota handle the situation as calmly as did the last time? Or, will his over-inflated ego get in the way?|5.0|1.0||||2000-04-26||2000-01-01|||
2465|Thank you for Everything||The young actors now head to a resort city, Swakopmund, where golden desert and the Atlantic Ocean meet. Bo Gum tries driving but he can’t help but give up just in three minutes for a reason. In Swakopmund, they find a fancy restaurant that serves delicious but rather expensive dishes. After enjoying the luxury, they begin to worry about their budget. Will they be able to make it to their final destination without a problem?|3.0|4.0||||2016-03-04||2016-01-01|||
2466|Vengeance||While Zedd and his brother seek revenge for the murder of their father, a stranger steps into Richard's life to send him on a collision course with Zedd.|17.0|2.0||||2010-04-17||2010-01-01|||
2467||Neil Stuke||||||||||||
2468||Soven Lahiri||||||||||||
2469|A Whale of a Tale|||6.0|2.0||||1960-11-07||1960-01-01|||
2470||Mickie McGowan||||||||||||
2471||John E. Sasaki||||||||||||
2472||Nitrate Films||||||||||||
2473|Episode 7|||7.0|3.0||||2019-06-01||2019-01-01|||
2474||Michael E. Phillips||||||||||||
2475||Roberta Maxwell||||||||||||
2476|Episode 14||The F4 comes to Macau and joins Jandi. They meet Junpyo and ask why he’s ignoring Jandi, but he only says that Jandi is no longer related to him. Jandi acts as if she’s alright, but can’t stop crying in front of Jihoo who looks like understanding everything. Jihoo helps the two to meet up, but Junpyo reconfirms the end of their relationship. When Jihoo and Jandi are about to go back to Korea, they unexpectedly meet Jihoo’s friend and were invited to his house in suburbs..|14.0|1.0||||2009-02-17||2009-01-01|||
2477||Aniplex||||||||||||JP
2478|Nadeko Snake (2)||Oshino informs Koyomi that Nadeko is under the effects of a Snake Constrictor, a snake spirit that slowly constricts the life out of its victim. Nadeko explains that it is a curse a classmate placed on her after Nadeko inadvertently rejected the confession of a boy the classmate liked. Normally, a curse placed by an amateur would be harmless, but Nadeko accidentally made the curse worse by performing her ritual at the shrine, which has been corrupted by Shinobu's presence. Koyomi obtains a special charm that will banish the Snake Constrictor and they return to the shrine. While the ritual is seemingly successful, Koyomi realizes that Nadeko is under the attack of two Snake Constrictors, the second being placed by the rejected boy. While the first one is banished, Koyomi is forced to battle the second to keep it from killing Nadeko. He and Kanbaru manage to chase it off, but Koyomi feels guilty for not being able to destroy it, as the Snake Constrictor will return to the person who originally placed the curse.|10.0|1.0||||2009-09-11||2009-01-01|||
2479||Park Sun Hee||||||||||||
2480||Rex Stout||||||||||||
2481||Kouji Ohkura||||||||||||
2483||Peter Feldman||||||||||||
2484|The Waiting Game|||7.0|3.0||||1955-10-09||1955-01-01|||
2485||Marco||||||||||||
2486||Michel Piccoli||||||||||||
2487||Kim So-eun||||||||||||
2488||Bernie Abramson||||||||||||
2489||Michael Hurst||||||||||||
2490||Lisa Tomblin||||||||||||
2491|The Bi-Sexual||Larry competes with Rosie O’Donnell for the same woman, explores the nuances of Japanese bows, and refuses lunch with an LA acquaintance.|7.0|8.0||||2011-08-21||2011-01-01|||
2492|Dateline - Korea|||28.0|2.0||||1955-03-13||1955-01-01|||
2493||Riz Meedin||||||||||||
2494|Survival|||13.0|3.0||||1961-12-31||1961-01-01|||
2495|Billboard Installer||Mike heads off to Texas to work with an outdoor advertising company.|9.0|3.0||||2007-06-26||2007-01-01|||
2496|?????????|||38.0|1.0|||||||||
2497||Dai Satou||||||||||||
2498||Markus Wittman||||||||||||
2499|The Rogue Horse|||22.0|2.0||||1962-03-05||1962-01-01|||
2500||Dany Par?s||||||||||||
2501||Park Byung-eun||||||||||||
2502||National Film Board of Canada||||||||||||CA
2503|Weekend in Winnetka|||2.0|3.0||||1955-09-04||1955-01-01|||
2504||Whitney Ransick||||||||||||
2505|No Help Wanted|||10.0|2.0||||1954-11-07||1954-01-01|||
2506||Hakuhodo DY Media Partners||||||||||||JP
2507|Chapter 50||Frank ups the ante on the war on terror to counter Conway's public show of strength. Tom joins Claire on the campaign trail.|11.0|4.0||||2016-03-04||2016-01-01|||
2508|Episode 4|||4.0|3.0||||2019-03-22||2019-01-01|||
2509||Kazuyuki Igai||||||||||||
2510||Michael Griffiths||||||||||||
2511||Sarah Bradshaw||||||||||||
2512||Alain Darthou||||||||||||
2513||Carmo Dalla Vecchia||||||||||||
2514|Avian Vomitologist||Mike first travels to Colorado to help out at a marble quarry. He then goes to California to collect owl vomit which is sold to school children for research projects. Finally, Mike travels to Texas to palpate cows, a process used to figure out if a cow is pregnant. He also gets a little too familiar with a bull.|1.0|2.0||||2006-01-10||2006-01-01|||
2515|Ranas Platicadoras|||19.0|6.0||||1999-05-13||1999-01-01|||
2516|Episode 21|||21.0|2.0||||2017-08-14||2017-01-01|||
2517||Kip Walton||||||||||||
2518|Heart of Oak||'Heart of Oak opens with a dramatic retelling of 16th and 17th-century history. Victory over the Armada proved a turning point in the nation's story as tiny, impoverished England was transformed into a seafaring nation, one whose future wealth and power lay on the oceans. The ruthless exploits of Elizabethan seafaring heroes like Francis Drake created a potent new sense of national identity that combined patriotism and Protestantism with private profiteering.At sea and on land, Snow shows how the Navy became an indispensable tool of state, weaving the stories of characters like Drake, God's Republican warrior at sea Robert Blake, and Samuel Pepys, administrator par excellence, who laid the foundations for Britain's modern civil service.With access to the modern Navy and reconstructed ships of the time, Snow recounts the Navy's metamorphosis from a rabble of West Country freebooters to possibly the most complex industrial enterprise on earth.|1.0|1.0||||2010-01-15||2010-01-01|||
2519|The Star Wish|||17.0|1.0||||1961-01-08||1961-01-01|||
2520||Soprofilms||||||||||||
2521||Mike Mazurki||||||||||||
2522|Outback Treasure Hunter||Mike and his crew travel deep into the Australian Outback to strike it rich with a group of opal miners. And then, with this already a dirty adventure with dangerous work and extreme temperatures, production is almost brought to a halt by a fly infestation.|4.0|9.0||||2012-09-12||2012-01-01|||
2523|Tsubasa Cat (1)||'On his way to Hitagi's house, Koyomi bumps in to Suruga Kanbaru, the school's basketball star and an old friend of Hitagi, of whom he can't get rid of. Later that day, Koyomi is attacked by a mysterious being.|11.0|1.0||||2009-09-18||2009-01-01|||
2524|Stabbed in the Back||When Anne Trenois meets Danny Bowen, he seems to have it all together, but ten years later Danny seems unable to hold down a job and Anne has had enough. The hostile divorce quickly spirals into a violent custody battle, which soon turns deadly.|5.0|3.0||||2016-02-06||2016-01-01|||
2525||CC&C – Clarke Costelle et Cie||||||||||||FR
2526|Letter to Loretta: Lady Killer|||17.0|1.0||||1954-01-10||1954-01-01|||
2527||Ashley L. Thomas||||||||||||
2528||Fran?ois Sagat||||||||||||
2529||Bob Miano||||||||||||
2530|The Smiley Face||Larry challenges the rules of dating and rethinks a decision regarding a new workplace neighbor. Meanwhile, Jeff invents an ill-advised excuse to get out of a dining engagement.|4.0|8.0||||2011-07-31||2011-01-01|||
2531||Minh Chau||||||||||||
2532|Well Digger||Mike joins the Bowie BaySox team at Prince Georges Stadium in Maryland acting as a groundskeeper. Next he fixes boat moorings with a former Navy SEAL.  He then joins Watson Water company dig deep through mud, rock, gravel, sand and water as they drill for heating and water in Tennessee. Also, Mike takes a dive into the mail bag.|4.0|3.0||||2007-01-30||2007-01-01|||
2533||Yutaka Aoyama||||||||||||
2534||Daniil Belykh||||||||||||
2535||Erato Films||||||||||||
2536|?????????|||15.0|1.0|||||||||
2537|Episode 5|||5.0|1.0||||2015-07-20||2015-01-01|||
2538||Yuri Khrzhanovsky||||||||||||
2539||Craig Parker||||||||||||
2540|Episode 8|||8.0|1.0||||1971-10-31||1971-01-01|||
2541|Episode 8|||8.0|1.0||||1972-02-28||1972-01-01|||
2542||Juliet Charlesworth||||||||||||
2543||Paul Cozzi||||||||||||
2544||Charo L?pez||||||||||||
2545||Katsuji Mori||||||||||||
2546||Anvar Hasanov||||||||||||
2547|Hand Walk II ~ Sponge Bridge|||15.0|1.0|||||||||
2548||Yavuz Turgul||||||||||||
2549||Jerry Brouer||||||||||||
2550||Brigitte Swoboda||||||||||||
2551||Kazuki Yao||||||||||||
2552||Blaine Gilliam||||||||||||
2553|The Unwanted|||26.0|7.0||||1960-05-01||1960-01-01|||
2554||Josip ?omodi||||||||||||
2555||Jim Morahan||||||||||||
2556|The Floating Fortune|||17.0|1.0||||1962-06-12||1962-01-01|||
2557|F-A– FASHION 4 A– ALL||Maya and Melanie take their promising new fashion line to the 2019 Abilities Expo, only to walk into a room full of familiar and unfriendly faces. Ray accompanies JJ on an overnight college visit. Meanwhile, Dylan’s test scores lead her first to Mr. Powers’ office hours, then to a journey within.|13.0|3.0||||2019-02-01||2019-01-01|||
2558|Micro-Algae Man|||15.0|1.0||||2005-11-01||2005-01-01|||
2559|El Ciego Comel?n|||12.0|6.0||||1999-03-25||1999-01-01|||
2560||Eunice Huthart||||||||||||
2561||Stephen J. Cannell||||||||||||
2562||Charles B. Wessler||||||||||||
2563||Kazuyoshi Okuyama||||||||||||
2564|Too Many Clients (1)|||9.0|2.0||||2002-06-02||2002-01-01|||
2565|Episode 16|||16.0|2.0||||2017-08-14||2017-01-01|||
2566|Play It Again, Sam||A mild mannered film critic is dumped by his wife and his ego is crushed. His hero persona is the tough guy played by Humphrey Bogart in many of his movies and the apparition of Bogart begins showing up to give him advice. With the encouragement of his two married friends, he actually tries dating again, with less than satisfactory results, until he relaxes.||||||1972-05-04||1972-01-01|85| Romance|
2567||Movie Machine||||||||||||
2568|Hand Walk III ~ Seesaw 60|||24.0|1.0|||||||||
2569|Episode 17|||17.0|1.0||||2019-06-01||2019-01-01|||
2570||Megumi Noda||||||||||||
2571|The Milkman|||12.0|1.0||||1960-12-04||1960-01-01|||
2572||Daniel Kontur||||||||||||
2573||John Shiban||||||||||||
2574||Satyajit Ray||||||||||||
2575|Episodio 1||sghsghs|1.0|1.0||||2003-01-07||2003-01-01|||
2576|Episode 2|||2.0|1.0||||1963-07-13||1963-01-01|||
2577|Episode 2|||2.0|1.0||||1983-03-03||1983-01-01|||
2578|Those at the Top|||28.0|8.0||||1961-05-07||1961-01-01|||
2579||Yelizaveta Smirnova||||||||||||
2580||David W. Alstadter||||||||||||
2581|The Special Section||Larry's mother dies while he's shooting a film in New York City, but he doesn't find out until he returns to Los Angeles two days after the funeral. Once he's past the initial shock, Larry uses his loss as an excuse to avoid a number of unsavory invitations. Meanwhile, Richard Lewis accuses Larry of taking back his meditation mantra, and Larry plots to relocate his mother's body at the cemetery.|6.0|3.0||||2002-10-20||2002-01-01|||
2582||Simon Donald||||||||||||
2583|Chaucer - Ted Hughes||This introductory programme establishes the continuity and variety of poetry over six centuries, touching on different genres by using extracts from some of the many poems featured in the series - from Chaucer to Ted Hughes.|1.0|1.0||||1984-05-02||1984-01-01|||
2584||Kathy Bates||||||||||||
2585||Hasanagha Salayev||||||||||||
2586||Samantha Seager||||||||||||
2587||Stuart McDonald||||||||||||
2588|Wake Up Call||Mary Jane sits in on a journalism lecture and hears harsh opinions of her show; Patrick is surprised with a family intervention about his drug use.|8.0|3.0||||2015-12-01||2015-01-01|||
2589||Bernard Largemain||||||||||||
2590|Episode 5||Carrisford has hired Carmichael to help him find Crewe's daughter. Little do they know that a word with Sara and their search would be over.|5.0|1.0||||1973-03-18||1973-01-01|||
2591|The Olden Days Coat||While at her grandmother's house, a ten-year-old girl finds a coat in the closet. As she inspects it, she is suddenly taken back in time.||||||1981-10-01||1981-01-01|30|Fantasy|
2592||Mary Harron||||||||||||
2593||John Pierce Jones||||||||||||
2594||Robert Tapert||||||||||||
2595|Six Centuries of Verse||Sir John Gielgud is joined by an outstanding repertory of actors in this pioneering, imaginative series demonstrating the immense variety and emotional impact of English-language poetry, from the fourteenth century to the contemporary era.|||1.0|16.0||1984-05-02|1984-12-09|1984-01-01|400|Drama|GB
2596||Ginger Fung||||||||||||
2597||Alistair Thompson||||||||||||
2598||Itzik Cohen||||||||||||
2599||Trudy van Buren||||||||||||
2600||Richard Carlson||||||||||||
2601||Yasuhiro Nakura||||||||||||
2602||Ma Jin-won||||||||||||
2603||Christopher Sch?rf||||||||||||
2604|Crisis in 114|||21.0|7.0||||1960-03-06||1960-01-01|||
2605||Russell Banks||||||||||||
2606|The Baptism||Larry can't believe that the Jewish man who is marrying Cheryl's sister is converting to Christianity. Richard Lewis accused Larry of stealing the outgoing message of his answering machine, and Larry accuses several passengers of stealing his airline tickets.|9.0|2.0||||2001-11-18||2001-01-01|||
2607||Roberto Ch?vez Manjarrez||||||||||||
2608|Pilot||'Harland Bristol is the reigning saddle bronc champ. Getting ready to ride Megaton, Harland is critically injured when the rank bronc rears up and slams him into the chute wall.Unfortunately, Stoney Burke was helping out - holding Megaton's head. Harland's brother Cody and his best friend E.J. Stoker blame Stoney for Harland's death.The episode introduces us to the principal characters, establishes themes sewn throughout the series, and gives hints to the eventual outcome.Thematic examples include forgiveness; Cody and E.J. go from wanting Stoney hurt for Harland's death to being his best friends and constant companions.We learn what a sleaze the character of Ves Painter is, and the attendant friction - approach/avoidance - represented by Ves and Stoney's difficult relationship.Stoney falls for Hamilton's girl (much younger than he) and seems willing to give it all up for her. She, however is smarter - or more mature than Stoney and realizes that if he does not go for the buckle -|1.0|1.0||||1962-10-01||1962-01-01|||
2609||Michael Donovan||||||||||||
2610|Episode 4||Ash invites Freddie, Stuart, Penelope and Mason to go clubbing, which Freddie and Stuart turn into a popularity contest. Meanwhile, Violet arranges to go and visit her latest online suitor... even though he lives in Argentina.|4.0|1.0||||2013-05-20||2013-01-01|||
2611||Jung Yoo-Min||||||||||||
2612||Vettukili Prakash||||||||||||
2613||Sheila Ruskin||||||||||||
2614|Honor Bound|||12.0|1.0||||1962-05-08||1962-01-01|||
2615||Carey Wilber||||||||||||
2616||Tom Shankland||||||||||||
2617|Harriet Tubman||'Harriet Tubman, described widely as the ‘Moses of her people’ wasinstrumental in the efforts to abolish slavery in mid 19th centuryAmerica. Born into a life of bondage, she was forced into work atfive years of age and at 12 was horrifically injured by theplantation overseer when he threw a lead weight at her head. At 27and buoyed by stories of slave rebellions emerging across thecountry, she escaped her Maryland plantation and headed Northwardswhere she knew there were strong groups of Quakers and anti slaverycampaigners who were collectively known as the ‘Underground Railroad’.Join the award winning comedian Mark Steel as he charts HarrietTubman’s course through American history; Her daring armed raids torescue fellow slaves, her inclusion into the Underground Railroadnetwork, her work with fellow abolitionist John Brown and herspecial meetings with Abraham Lincoln’s wife.The story of Harriet Tubman is a tale of one of America’s greatestwar heroes, a woman who fought against a real axis of evil to strikea blow for freedom.|5.0|3.0||||2006-03-23||2006-01-01|||
2618|Episode 35|||35.0|1.0||||2003-03-07||2003-01-01|||
2619||Max Amyl||||||||||||
2620||Kikuko Inoue||||||||||||
2621||Radio T?l?vision Belge Francophone||||||||||||BE
2622||Otto Kruger||||||||||||
2623||David Hemblen||||||||||||
2624||?pela Rozin||||||||||||
2625||Paula Hopf||||||||||||
2626|Episode 6||The team investigate the suspicious death of care home resident Gerald French after his daughter Catherine raises some concerns about the level of care her father had been receiving. Shy trainee, Rosie is seen slapping a resident and she is upset to discover that her mentor doesn’t have her best interests at heart.|6.0|3.0||||2013-05-08||2013-01-01|||
2627|Episode 1|||1.0|1.0||||2010-04-08||2010-01-01|||
2628|Chicken Busters||Mike goes on the hunt for feral chickens on the streets of Miami.|3.0|6.0||||2010-01-19||2010-01-01|||
2629||Clara Henry||||||||||||
2630||Karpo A?imovi?-Godina||||||||||||
2631|The Why Chromosome||'When the men are nowhere to be found, Sheppard and Ballard team up to investigate the death of young girl, who's a teenage gang member. With the wedding one week away, Billie Lou asks for Munch's help with her neighbor's abusive boyfriend. After Munch approaches him strongly, the boyfriend retaliates by coming to the Waterfront and slamming Billie Lou's head on the bar. Munch claims he came on strong with the guy, because his ''''testosterone riddled behavior'''' was due to the celibacy Billie Lou imposed on him, to make their wedding night more special. Billie Lou wants to delay the wedding until the welt on her forehead goes away in about 3 weeks. After Sheppard and Ballard solve their case, Sheppard reminds Lewis that his problem with her is not going to keep her from doing her job.|21.0|7.0||||1999-05-14||1999-01-01|||
2632|The Strangers That Came to Town|||3.0|7.0||||1959-10-04||1959-01-01|||
2633||Anita Koh||||||||||||
